,contract,direction,order,symbol
509,"Stock(symbol='MPW', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=517, clientId=10, permId=1534984741, action='BUY', account='DU2280941')",MPW
510,"Stock(symbol='MPWR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=518, clientId=10, permId=1534984887, action='BUY', account='DU2280941')",MPWR
511,"Stock(symbol='MRK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=519, clientId=10, permId=1534984743, action='BUY', account='DU2280941')",MRK
512,"Stock(symbol='MRNA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=520, clientId=10, permId=1534984889, action='BUY', account='DU2280941')",MRNA
513,"Stock(symbol='MRO', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=521, clientId=10, permId=1534984744, action='SELL', account='DU2280941')",MRO
514,"Stock(symbol='MRVL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=522, clientId=10, permId=1534984891, action='BUY', account='DU2280941')",MRVL
515,"Stock(symbol='MS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=523, clientId=10, permId=1534984747, action='BUY', account='DU2280941')",MS
516,"Stock(symbol='MSCI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=524, clientId=10, permId=1534984749, action='BUY', account='DU2280941')",MSCI
517,"Stock(symbol='MSFT', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=525, clientId=10, permId=1534984895, action='BUY', account='DU2280941')",MSFT
518,"Stock(symbol='MSI', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=526, clientId=10, permId=1534984750, action='SELL', account='DU2280941')",MSI
519,"Stock(symbol='MT', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=527, clientId=10, permId=1534984752, action='BUY', account='DU2280941')",MT
520,"Stock(symbol='MTN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=528, clientId=10, permId=1534984755, action='BUY', account='DU2280941')",MTN
521,"Stock(symbol='MU', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=529, clientId=10, permId=1534984901, action='BUY', account='DU2280941')",MU
522,"Stock(symbol='MXIM', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=530, clientId=10, action='BUY', account='DU2280941')",MXIM
523,"Stock(symbol='MYL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=531, clientId=10, permId=1534984904, action='BUY', account='DU2280941')",MYL
524,"Stock(symbol='NBIX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=532, clientId=10, permId=1534984905, action='SELL', account='DU2280941')",NBIX
525,"Stock(symbol='NBL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=533, clientId=10, permId=1534984907, action='BUY', account='DU2280941')",NBL
526,"Stock(symbol='NCLH', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=534, clientId=10, permId=1534984756, action='SELL', account='DU2280941')",NCLH
527,"Stock(symbol='NDAQ', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=535, clientId=10, permId=1534984908, action='BUY', account='DU2280941')",NDAQ
528,"Stock(symbol='NDSN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=536, clientId=10, permId=1534984909, action='BUY', account='DU2280941')",NDSN
529,"Stock(symbol='NEM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=537, clientId=10, permId=1534984758, action='BUY', account='DU2280941')",NEM
530,"Stock(symbol='NI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=538, clientId=10, permId=1534984761, action='BUY', account='DU2280941')",NI
531,"Stock(symbol='NICE', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=539, clientId=10, action='BUY', account='DU2280941')",NICE
532,"Stock(symbol='NKE', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=540, clientId=10, permId=1534984763, action='BUY', account='DU2280941')",NKE
533,"Stock(symbol='NLOK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=541, clientId=10, action='SELL', account='DU2280941')",NLOK
534,"Stock(symbol='NLSN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=542, clientId=10, permId=1534984764, action='BUY', account='DU2280941')",NLSN
535,"Stock(symbol='NLY', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=543, clientId=10, permId=1534984765, action='SELL', account='DU2280941')",NLY
536,"Stock(symbol='NMR', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=544, clientId=10, permId=1534984766, action='BUY', account='DU2280941')",NMR
537,"Stock(symbol='NNN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=545, clientId=10, permId=1534984767, action='BUY', account='DU2280941')",NNN
538,"Stock(symbol='NOC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=546, clientId=10, permId=1534984768, action='BUY', account='DU2280941')",NOC
539,"Stock(symbol='NOK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=547, clientId=10, permId=1534984769, action='BUY', account='DU2280941')",NOK
540,"Stock(symbol='NOV', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=548, clientId=10, permId=1534984771, action='SELL', account='DU2280941')",NOV
