,high,last,low,symbol,volume
283,191.05,190.51,186.01,LHX,11198.0
284,171.38,170.68,162.53,LH,2916.0
285,291.74,289.65,274.51,LRCX,12829.0
286,65.56,65.39,62.12,LW,4772.0
287,49.65,49.45,47.75,LVS,33159.0
288,33.85,33.69,31.1,LEG,4699.0
289,98.66,98.3,94.71,LDOS,5487.0
290,62.83,62.55,57.09,LEN,33297.0
291,142.5,142.26,139.68,LLY,16856.0
292,42.13,41.92,37.52,LNC,11122.0
293,204.12,203.44,197.26,LIN,9865.0
294,49.74,49.33,46.48,LYV,11739.0
295,27.31,27.23,24.0,LKQ,19083.0
296,376.47,375.02,367.55,LMT,13465.0
297,33.67,33.53,31.18,L,7006.0
298,127.53,127.25,123.09,LOW,23719.0
299,68.13,67.83,63.3,LYB,9604.0
300,110.64,110.32,102.14,MTB,7074.0
301,6.69,6.65,6.12,MRO,206689.0
302,37.89,37.82,34.61,MPC,49496.0
303,496.83,495.7,485.9,MKTX,720.0
304,92.17,91.9,86.79,MAR,62747.0
305,105.91,105.72,101.51,MMC,10899.0
306,199.22,198.61,188.32,MLM,1706.0
307,46.65,46.56,44.44,MAS,14612.0
308,296.92,296.75,288.75,MA,22212.0
309,169.11,168.65,165.05,MKC,2596.0
310,58.01,57.89,55.93,MXIM,11022.0
311,189.47,189.22,184.13,MCD,26470.0
312,151.3,150.8,144.4,MCK,3688.0
313,93.65,93.41,90.68,MDT,32702.0
314,75.37,74.51,73.68,MRK,83334.0
315,38.23,38.2,35.65,MET,35781.0
316,777.79,776.57,747.02,MTD,504.0
317,19.75,19.6,17.65,MGM,248403.0
318,,100.85,,MCHP,
319,49.63,49.38,47.1,MU,108164.0
320,189.95,189.79,184.01,MSFT,183547.0
321,118.36,118.12,114.53,MAA,4940.0
322,98.0,97.09,92.49,MHK,3293.0
323,38.51,38.5,36.51,TAP,12545.0
324,51.09,51.08,50.01,MDLZ,25725.0
325,,68.24,,MNST,
326,270.74,269.82,260.51,MCO,2795.0
327,47.69,47.59,44.6,MS,94218.0
328,13.39,13.34,12.34,MOS,18555.0
329,138.95,137.86,135.39,MSI,9422.0
